City,State,Old_Bucket,City_Bucket,Final_Population,Instances
KANJIRAPALLY,KERALA,Tier 6,Tier 4,32082,78
KUNNATHUR,KERALA,Tier 6,Tier 4,32082,23
VANDIPERIYAR,KERALA,Tier 6,Tier 4,32082,42
RANNI,KERALA,Tier 6,Tier 4,32082,64
KOTTARKARA,KERALA,Tier 6,Tier 4,32082,23
KOVURPALLE,ANDHRA PRADESH,Tier 6,Tier 4,32082,3
KANJIKKUZHI,KERALA,Tier 6,Tier 4,32082,1
VADAKKANCHERY,KERALA,Tier 6,Tier 4,32082,2
SATTUPALLI,ANDHRA PRADESH,Tier 6,Tier 4,31857,36
SINNAR,MAHARASHTRA,Tier 6,Tier 4,31630,3
MUNGELI,CHHATTISGARH,Tier 6,Tier 4,31613,41
PATTAMBI,KERALA,Tier 6,Tier 4,31416,125
ALATHUR,KERALA,Tier 6,Tier 4,31416,72
WAYANAD,KERALA,Tier 4,Tier 4,31416,129
WADAKKANCHERRY,KERALA,Tier 6,Tier 4,31416,115
KAKKANNAD,KERALA,Tier 6,Tier 4,31416,57
CHEMMUMIAHPET,ANDHRA PRADESH,Tier 6,Tier 4,31416,14
VANDAVASI,TAMIL NADU,Tier 6,Tier 4,31320,4
MOKOKCHUNG,NAGALAND,Tier 5,Tier 4,31214,20
SAGWARA,RAJASTHAN,Tier 6,Tier 4,31127,1
RAMGANJ MANDI,RAJASTHAN,Tier 6,Tier 4,30973,116
MADURANTHAKAM,TAMIL NADU,Tier 6,Tier 4,30796,94
DHARMANAGAR,TRIPURA,Tier 6,Tier 4,30785,63
GADDI ANNARAM,ANDHRA PRADESH,Tier 6,Tier 4,30422,1
CHIMAKURTHY,ANDHRA PRADESH,Tier 6,Tier 4,30279,3
PEN,MAHARASHTRA,Tier 6,Tier 4,30201,6804
PALLADAM,TAMIL NADU,Tier 6,Tier 4,30016,1
SANKARI,TAMIL NADU,Tier 6,Tier 4,30000,62
